Filesystem                                              Size  Used Avail Use% Mounted on
devtmpfs                                                7.8G  8.0K  7.8G   1% /dev
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/88a50ca48604a0fb5c38ece3a545e0c910aed8e1e824a1454f6192d2e1372fbb/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/820ba717ff840a7de0dea460aec2940cba8ff21e9be97b575c11914e87a5e692/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/820ba717ff840a7de0dea460aec2940cba8ff21e9be97b575c11914e87a5e692/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/90774e368165ac466812006b1dd22f5e30919db15e7f65d39f04f868e9b9773a/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/90774e368165ac466812006b1dd22f5e30919db15e7f65d39f04f868e9b9773a/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/f4f2b0c81360f98e5516702ee80a07434a793664d2d22ccf7f488f190055167b/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/f4f2b0c81360f98e5516702ee80a07434a793664d2d22ccf7f488f190055167b/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/d70ab96e8330acd3eb1c73a3ce8b87044ebf6a5f1a29af7ad93a3af7acbcfc79/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/d70ab96e8330acd3eb1c73a3ce8b87044ebf6a5f1a29af7ad93a3af7acbcfc79/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/6b2b6dca22240d00e232c94a4094240efa6cc1addc42885d360d7add3c1da92e/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/c00e40a19e0b30e052dbc2c6896d12eeb4f30000858e503ae95e0ad5fd4c1313/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/5872bb1c423dbd448f0011bff17dcb611e7e781930617d370e28f8e2ee960b0c/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/54af8d4bc4bb0702413b552b3e3fe93252bfe82b3b80bd3a0e0a355cd8431429/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/2d9337971e904992a33cc9b817af656a91a6b7835923097379f2eb525ce6c54b/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/a065e16d8a2dc57c083ccd4defea694a1d9b983224a03b1c623d4824449bb9c3/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/2812890f3265b279b63b8587906871b265d45b7c4e3efdae99664220b5643629/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/a2512df447ca0831a0264a2c5d6478ec7822d015e998ec07a7ac6611c8471bdc/mounts/secrets
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/3870332b-5193-40e5-b22b-16442fa4b783/volumes/kubernetes.io~secret/longhorn-service-account-token-b4xwx
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/c1870461-2b10-4e66-b319-fd1f33781e4c/volumes/kubernetes.io~secret/longhorn-service-account-token-b4xwx
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/9342a342f556085569d31d41b8b4c6a42b32a135085dc68619aafb83a6315bd1/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/a415191cbcdd1ff80f58842e175ed955b938069f9a708969e9fcb355d64f8872/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/a415191cbcdd1ff80f58842e175ed955b938069f9a708969e9fcb355d64f8872/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/1025dbf566718a99753d472159e22aaf634b8db3d403f45e337683f2b0604691/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/1025dbf566718a99753d472159e22aaf634b8db3d403f45e337683f2b0604691/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/1723c92d16bd5345d80de4029e2f271949a57a5dce03587ba666da59225b579b/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/ef21d0da1bc974568f6431f8d026994cdcda2f73c903f1dd1c13cd66c4b166dd/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/75e4c98f4f975186bd7c0616879acff26a6e1a65518342bbb3c60fe38624cf12/mounts/secrets
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/d492e899-8189-471e-8373-1bd52734ac16/volumes/kubernetes.io~secret/default-token-q2t5v
shm                                                      64M     0   64M   0% /var/lib/docker/containers/41a6486d7988b85d9c1b62ea93c07a41d49015da919f65d29b1e65ca312a8a19/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/41a6486d7988b85d9c1b62ea93c07a41d49015da919f65d29b1e65ca312a8a19/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/73fd61630bd4a75512fed1bf5ef06e709575aca80ef5988107bc7d0218209b65/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/69f5dfa78b893648aa9f76f46f6b9e063f4eae6f9050e69472484d15ec124662/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/b4d6ae1a8c25e4da29b777cdc1e54cb8c3b2699c13976f36eccd3eb88e54756c/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/195a7eaa249da24695a03a77bd894e64281575fc942c9bf1f9b7b4d5510dcffc/mounts/secrets
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/e4f3297f-94dc-44bc-ae6b-71eee8c62018/volumes/kubernetes.io~secret/default-token-q2t5v
/dev/longhorn/pvc-f9f836e4-e69b-44d6-869d-4caa92701002  4.9G  4.9G     0 100% /var/lib/kubelet/pods/e4f3297f-94dc-44bc-ae6b-71eee8c62018/volumes/kubernetes.io~csi/pvc-f9f836e4-e69b-44d6-869d-4caa92701002/mount
shm                                                      64M     0   64M   0% /var/lib/docker/containers/b4bb94497962b4f972775a2b44d032fd4592f30e3e6780cefec22c4b783f0f16/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/b4bb94497962b4f972775a2b44d032fd4592f30e3e6780cefec22c4b783f0f16/mounts/secrets
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/c8b7c2eccbbca5983234a89e630b026cec438d993cb73e1df8123bb34af44e0f/mounts/secrets
tmpfs                                                   1.6G     0  1.6G   0% /run/user/1000
